Ключевые слова,Дата и время,Источник,Код события,Категория задачи
@Аудит успеха,10.05.2018 1:35:26,Microsoft-Windows-Security-Auditing,4798,Управление учетными записями,"Перечислено участие пользователя в локальных группах.

Subject:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC
	ИД входа:		0x973CE

Пользователь:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC

Сведения о процессе:
	ИД процесса:		0x414c
	Имя процесса:		C:\Windows\System32\mmc.exe"
@Аудит успеха,10.05.2018 1:29:00,Microsoft-Windows-Security-Auditing,4672,Специальный вход,"Новому сеансу входа назначены специальные привилегии.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	Код входа:		0x3E7

Привилегии:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
@Аудит успеха,10.05.2018 1:29:00,Microsoft-Windows-Security-Auditing,4624,Вход в систему,"Вход в учетную запись выполнен успешно.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	ИД входа:		0x3E7

Сведения о входе:
	Тип входа:		5
	Ограниченный режим администрирования:	-
	Виртуальная учетная запись:		Нет
	Расширенный маркер:		Да

Уровень олицетворения:		Олицетворение

Новый вход:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	ИД входа:		0x3E7
	Связанный ИД входа:		0x0
	Сетевое имя учетной записи:	-
	Сетевой домен учетной записи:	-
	GUID входа:		{00000000-0000-0000-0000-000000000000}

Сведения о процессе:
	ИД процесса:		0x2fc
	Имя процесса:		C:\Windows\System32\services.exe

Сведения о сети:
	Имя рабочей станции:	-
	Сетевой адрес источника:	-
	Порт источника:		-

Подробные сведения о проверке подлинности:
	Процесс входа:		Advapi  
	Пакет проверки подлинности:	Negotiate
	Промежуточные службы:	-
	Имя пакета (только NTLM):	-
	Длина ключа:		0

Данное событие возникает при создании сеанса входа. Оно создается на компьютере, к которому был установлен доступ.

Поля ""Субъект"" указывают на учетную запись локальной системы, запросившую вход. Обычно это служба, например служба ""Сервер"", или локальный процесс, такой как Winlogon.exe или Services.exe.

В поле ""Тип входа"" указан тип выполненного входа. Самыми распространенными являются типы 2 (интерактивный) и 3 (сетевой).

Поля ""Новый вход"" указывают на учетную запись, для которой создан новый сеанс входа, то есть на учетную запись, в которую выполнен вход.

В полях, которые относятся к сети, указан источник запроса на удаленный вход. Имя рабочей станции доступно не всегда, и в некоторых случаях это поле может оставаться незаполненным.

Поле ""Уровень олицетворения"" задает допустимую степень олицетворения для процессов в данном сеансе входа.

Поля сведений о проверке подлинности содержат подробные данные о конкретном запросе на вход.
	- GUID входа — это уникальный идентификатор, который позволяет сопоставить данное событие с событием KDC.
	- В поле ""Промежуточные службы"" указано, какие промежуточные службы участвовали в данном запросе на вход.
	- Поле ""Имя пакета"" указывает на подпротокол, использованный с протоколами NTLM.
	- В поле ""Длина ключа"" указывается длина созданного ключа сеанса. Это поле может иметь значение ""0"", если ключ сеанса не запрашивался."
@Аудит успеха,10.05.2018 1:00:59,Microsoft-Windows-Security-Auditing,4672,Специальный вход,"Новому сеансу входа назначены специальные привилегии.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	Код входа:		0x3E7

Привилегии:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
@Аудит успеха,10.05.2018 1:00:59,Microsoft-Windows-Security-Auditing,4624,Вход в систему,"Вход в учетную запись выполнен успешно.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	ИД входа:		0x3E7

Сведения о входе:
	Тип входа:		5
	Ограниченный режим администрирования:	-
	Виртуальная учетная запись:		Нет
	Расширенный маркер:		Да

Уровень олицетворения:		Олицетворение

Новый вход:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	ИД входа:		0x3E7
	Связанный ИД входа:		0x0
	Сетевое имя учетной записи:	-
	Сетевой домен учетной записи:	-
	GUID входа:		{00000000-0000-0000-0000-000000000000}

Сведения о процессе:
	ИД процесса:		0x2fc
	Имя процесса:		C:\Windows\System32\services.exe

Сведения о сети:
	Имя рабочей станции:	-
	Сетевой адрес источника:	-
	Порт источника:		-

Подробные сведения о проверке подлинности:
	Процесс входа:		Advapi  
	Пакет проверки подлинности:	Negotiate
	Промежуточные службы:	-
	Имя пакета (только NTLM):	-
	Длина ключа:		0

Данное событие возникает при создании сеанса входа. Оно создается на компьютере, к которому был установлен доступ.

Поля ""Субъект"" указывают на учетную запись локальной системы, запросившую вход. Обычно это служба, например служба ""Сервер"", или локальный процесс, такой как Winlogon.exe или Services.exe.

В поле ""Тип входа"" указан тип выполненного входа. Самыми распространенными являются типы 2 (интерактивный) и 3 (сетевой).

Поля ""Новый вход"" указывают на учетную запись, для которой создан новый сеанс входа, то есть на учетную запись, в которую выполнен вход.

В полях, которые относятся к сети, указан источник запроса на удаленный вход. Имя рабочей станции доступно не всегда, и в некоторых случаях это поле может оставаться незаполненным.

Поле ""Уровень олицетворения"" задает допустимую степень олицетворения для процессов в данном сеансе входа.

Поля сведений о проверке подлинности содержат подробные данные о конкретном запросе на вход.
	- GUID входа — это уникальный идентификатор, который позволяет сопоставить данное событие с событием KDC.
	- В поле ""Промежуточные службы"" указано, какие промежуточные службы участвовали в данном запросе на вход.
	- Поле ""Имя пакета"" указывает на подпротокол, использованный с протоколами NTLM.
	- В поле ""Длина ключа"" указывается длина созданного ключа сеанса. Это поле может иметь значение ""0"", если ключ сеанса не запрашивался."
@Аудит успеха,10.05.2018 0:59:37,Microsoft-Windows-Security-Auditing,4798,Управление учетными записями,"Перечислено участие пользователя в локальных группах.

Subject:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC
	ИД входа:		0x973CE

Пользователь:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC

Сведения о процессе:
	ИД процесса:		0x414c
	Имя процесса:		C:\Windows\System32\mmc.exe"
@Аудит успеха,10.05.2018 0:50:27,Microsoft-Windows-Security-Auditing,4672,Специальный вход,"Новому сеансу входа назначены специальные привилегии.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	Код входа:		0x3E7

Привилегии:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
@Аудит успеха,10.05.2018 0:50:27,Microsoft-Windows-Security-Auditing,4624,Вход в систему,"Вход в учетную запись выполнен успешно.

Субъект:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	ИД входа:		0x3E7

Сведения о входе:
	Тип входа:		5
	Ограниченный режим администрирования:	-
	Виртуальная учетная запись:		Нет
	Расширенный маркер:		Да

Уровень олицетворения:		Олицетворение

Новый вход:
	ИД безопасности:		СИСТЕМА
	Имя учетной записи:		СИСТЕМА
	Домен учетной записи:		NT AUTHORITY
	ИД входа:		0x3E7
	Связанный ИД входа:		0x0
	Сетевое имя учетной записи:	-
	Сетевой домен учетной записи:	-
	GUID входа:		{00000000-0000-0000-0000-000000000000}

Сведения о процессе:
	ИД процесса:		0x2fc
	Имя процесса:		C:\Windows\System32\services.exe

Сведения о сети:
	Имя рабочей станции:	-
	Сетевой адрес источника:	-
	Порт источника:		-

Подробные сведения о проверке подлинности:
	Процесс входа:		Advapi  
	Пакет проверки подлинности:	Negotiate
	Промежуточные службы:	-
	Имя пакета (только NTLM):	-
	Длина ключа:		0

Данное событие возникает при создании сеанса входа. Оно создается на компьютере, к которому был установлен доступ.

Поля ""Субъект"" указывают на учетную запись локальной системы, запросившую вход. Обычно это служба, например служба ""Сервер"", или локальный процесс, такой как Winlogon.exe или Services.exe.

В поле ""Тип входа"" указан тип выполненного входа. Самыми распространенными являются типы 2 (интерактивный) и 3 (сетевой).

Поля ""Новый вход"" указывают на учетную запись, для которой создан новый сеанс входа, то есть на учетную запись, в которую выполнен вход.

В полях, которые относятся к сети, указан источник запроса на удаленный вход. Имя рабочей станции доступно не всегда, и в некоторых случаях это поле может оставаться незаполненным.

Поле ""Уровень олицетворения"" задает допустимую степень олицетворения для процессов в данном сеансе входа.

Поля сведений о проверке подлинности содержат подробные данные о конкретном запросе на вход.
	- GUID входа — это уникальный идентификатор, который позволяет сопоставить данное событие с событием KDC.
	- В поле ""Промежуточные службы"" указано, какие промежуточные службы участвовали в данном запросе на вход.
	- Поле ""Имя пакета"" указывает на подпротокол, использованный с протоколами NTLM.
	- В поле ""Длина ключа"" указывается длина созданного ключа сеанса. Это поле может иметь значение ""0"", если ключ сеанса не запрашивался."
@Аудит успеха,10.05.2018 0:50:01,Microsoft-Windows-Security-Auditing,4798,Управление учетными записями,"Перечислено участие пользователя в локальных группах.

Subject:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC
	ИД входа:		0x973CE

Пользователь:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC

Сведения о процессе:
	ИД процесса:		0x414c
	Имя процесса:		C:\Windows\System32\mmc.exe"
@Аудит успеха,10.05.2018 0:47:52,Microsoft-Windows-Security-Auditing,4798,Управление учетными записями,"Перечислено участие пользователя в локальных группах.

Subject:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC
	ИД входа:		0x973CE

Пользователь:
	ИД безопасности:		DESKTOP-PMSI5TC\Victoria
	Имя учетной записи:		Victoria
	Домен учетной записи:		DESKTOP-PMSI5TC

Сведения о процессе:
	ИД процесса:		0x414c
	Имя процесса:		C:\Windows\System32\mmc.exe"
